stat_month,region_level,sido_name,sigungu_name,vehicle_type,use_type,registration_count,unit,source_measure_key,source_form_id,source_row_no,is_aggregate
202604,시군구,서울,동작구,passenger,official,124,대,승용>관용,5498,12,0
202604,시군구,서울,동작구,passenger,private,93640,대,승용>자가용,5498,12,0
202604,시군구,서울,동작구,passenger,total,95032,대,승용>계,5498,12,1
202604,시군구,서울,동작구,special,private,154,대,특수>자가용,5498,12,0
202604,시군구,서울,동작구,van,business,129,대,승합>영업용,5498,12,0
202604,시군구,서울,마포구,truck,private,8864,대,화물>자가용,5498,13,0
202604,시군구,서울,마포구,special,official,22,대,특수>관용,5498,13,0
202604,시군구,서울,마포구,truck,total,11678,대,화물>계,5498,13,1
202604,시군구,서울,마포구,total,private,112114,대,총계>자가용,5498,13,1
202604,시군구,서울,마포구,van,private,2193,대,승합>자가용,5498,13,0
202604,시군구,서울,마포구,special,total,822,대,특수>계,5498,13,1
202604,시군구,서울,마포구,passenger,business,3858,대,승용>영업용,5498,13,0
202604,시군구,서울,마포구,truck,official,174,대,화물>관용,5498,13,0
202604,시군구,서울,마포구,special,business,516,대,특수>영업용,5498,13,0
202604,시군구,서울,마포구,total,official,345,대,총계>관용,5498,13,1
202604,시군구,서울,마포구,total,business,7595,대,총계>영업용,5498,13,1
202604,시군구,서울,마포구,total,total,120054,대,총계>계,5498,13,1
202604,시군구,서울,마포구,van,official,54,대,승합>관용,5498,13,0
202604,시군구,서울,마포구,truck,business,2640,대,화물>영업용,5498,13,0
202604,시군구,서울,마포구,van,total,2828,대,승합>계,5498,13,1
202604,시군구,서울,마포구,passenger,official,95,대,승용>관용,5498,13,0
202604,시군구,서울,마포구,passenger,private,100773,대,승용>자가용,5498,13,0
202604,시군구,서울,마포구,passenger,total,104726,대,승용>계,5498,13,1
202604,시군구,서울,마포구,special,private,284,대,특수>자가용,5498,13,0
202604,시군구,서울,마포구,van,business,581,대,승합>영업용,5498,13,0
202604,시군구,서울,서대문구,truck,private,5490,대,화물>자가용,5498,14,0
202604,시군구,서울,서대문구,special,official,6,대,특수>관용,5498,14,0
202604,시군구,서울,서대문구,truck,total,7380,대,화물>계,5498,14,1
202604,시군구,서울,서대문구,total,private,84603,대,총계>자가용,5498,14,1
202604,시군구,서울,서대문구,van,private,1748,대,승합>자가용,5498,14,0
202604,시군구,서울,서대문구,special,total,273,대,특수>계,5498,14,1
202604,시군구,서울,서대문구,passenger,business,3457,대,승용>영업용,5498,14,0
202604,시군구,서울,서대문구,truck,official,135,대,화물>관용,5498,14,0
202604,시군구,서울,서대문구,special,business,109,대,특수>영업용,5498,14,0
202604,시군구,서울,서대문구,total,official,460,대,총계>관용,5498,14,1
202604,시군구,서울,서대문구,total,business,5720,대,총계>영업용,5498,14,1
202604,시군구,서울,서대문구,total,total,90783,대,총계>계,5498,14,1
202604,시군구,서울,서대문구,van,official,100,대,승합>관용,5498,14,0
202604,시군구,서울,서대문구,truck,business,1755,대,화물>영업용,5498,14,0
202604,시군구,서울,서대문구,van,total,2247,대,승합>계,5498,14,1
